"","colour_subject","rt","stimulus","keypress","word","color","block","blocknum","wordtype","trialtype","trialindex","timeelapsed","internalnodeid","keypressed","participantresponse","correctresponse"
"4424","Subject316","colorred","test","num1","typesuicide","singlestim","47","190144","1000290","edc","paicipantresponsered","correct","728","suicide","67","suicide"
"4425","Subject317","324","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","47","205723","1000290","edc","paicipantresponsered","correct"
"4426","Subject318","369","dead","67","dead","colorred","test","num1","typesuicide","singlestim","47","340802","1000290","edc","paicipantresponsered","correct"
"4427","Subject319","536","museum","67","museum","colorred","test","num1","typeneutral","singlestim","47","215623","1000290","edc","paicipantresponsered","correct"
"4428","Subject320","test","num1","typeneutral","singlestim","47","160945","1000290","edc","paicipantresponsered","correct","978","engine","77","engine","colorblue"
"4429","Subject322","360","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","47","179064","1000290","edm","paicipantresponseblue","correct"
"4430","Subject323","411","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","47","174157","1000290","edm","paicipantresponseblue","correct"
"4431","Subject324","538","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","47","192981","1000290","edm","paicipantresponseblue","correct"
"4432","Subject325","464","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","47","168329","1000290","edc","paicipantresponsered","correct"
"4433","Subject326","473","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","47","199768","1000290","edc","paicipantresponsered","correct"
"4434","Subject327","651","success","67","success","colorred","test","num1","typepositive","singlestim","47","181468","1000290","edc","paicipantresponsered","correct"
"4435","Subject328","576","alone","77","alone","colorblue","test","num1","typenegative","singlestim","47","237706","1000290","edm","paicipantresponseblue","correct"
"4436","Subject329","663","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","47","156599","1000290","edm","paicipantresponseblue","correct"
"4437","Subject330","334","alone","67","alone","colorred","test","num1","typenegative","singlestim","47","251477","1000290","edc","paicipantresponsered","correct"
"4438","Subject331","401","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","47","161587","1000290","edc","paicipantresponsered","correct"
"4439","Subject332","747","alone","77","alone","colorblue","test","num1","typenegative","singlestim","47","233989","1000290","edm","paicipantresponseblue","correct"
"4440","Subject333","467","alone","77","alone","colorblue","test","num1","typenegative","singlestim","47","163909","1000290","edm","paicipantresponseblue","correct"
"4441","Subject1","459","paper","67","paper","colorred","test","num1","typeneutral","singlestim","49","208381","1000310","edc","paicipantresponsered","correct"
"4442","Subject2","389","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","160556","1000310","edm","paicipantresponseblue","correct"
"4443","Subject3","352","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","490145","1000310","edm","paicipantresponseblue","correct"
"4444","Subject4","761","success","77","success","colorblue","test","num1","typepositive","singlestim","49","179282","1000310","edm","paicipantresponseblue","correct"
"4445","Subject5","354","alone","77","alone","colorblue","test","num1","typenegative","singlestim","49","159868","1000310","edm","paicipantresponseblue","correct"
"4446","Subject6","418","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","49","235759","1000310","edm","paicipantresponseblue","correct"
"4447","Subject7","892","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","165364","1000310","edm","paicipantresponseblue","correct"
"4448","Subject8","396","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","49","142945","1000310","edc","paicipantresponsered","correct"
"4449","Subject9","354","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","49","157285","1000310","edm","paicipantresponseblue","correct"
"4450","Subject10","engine","67","engine","colorred","test","num1","typeneutral","singlestim","49","182828","1000310","edc","paicipantresponsered","correct","571"
"4451","Subject11","890","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","49","228722","1000310","edc","paicipantresponsered","correct"
"4452","Subject13","859","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","49","183909","1000310","edm","paicipantresponseblue","correct"
"4453","Subject14","340","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","183414","1000310","edm","paicipantresponseblue","correct"
"4454","Subject15","491","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","49","179679","1000310","edc","paicipantresponsered","correct"
"4455","Subject16","383","happy","77","happy","colorblue","test","num1","typepositive","singlestim","49","150488","1000310","edm","paicipantresponseblue","correct"
"4456","Subject17","512","alone","67","alone","colorred","test","num1","typenegative","singlestim","49","238161","1000310","edc","paicipantresponsered","correct"
"4457","Subject18","360","success","67","success","colorred","test","num1","typepositive","singlestim","49","172138","1000310","edc","paicipantresponsered","correct"
"4458","Subject19","428","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","191850","1000310","edm","paicipantresponseblue","correct"
"4459","Subject20","456","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","158809","1000310","edm","paicipantresponseblue","correct"
"4460","Subject21","755","engine","67","engine","colorred","test","num1","typeneutral","singlestim","49","155263","1000310","edc","paicipantresponsered","correct"
"4461","Subject22","success","77","success","colorblue","test","num1","typepositive","singlestim","49","182218","1000310","edm","paicipantresponseblue","correct","293"
"4462","Subject23","452","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","116682","1000310","edc","paicipantresponsered","correct"
"4463","Subject24","421","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","49","174317","1000310","edc","paicipantresponsered","correct"
"4464","Subject25","437","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","49","179223","1000310","edc","paicipantresponsered","correct"
"4465","Subject26","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","49","1278998","1000310","edm","paicipantresponseblue","correct","680"
"4466","Subject27","524","dead","67","dead","colorred","test","num1","typesuicide","singlestim","49","254417","1000310","edc","paicipantresponsered","correct"
"4467","Subject28","613","museum","67","museum","colorred","test","num1","typeneutral","singlestim","49","148627","1000310","edc","paicipantresponsered","correct"
"4468","Subject29","1009","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","177669","1000310","edc","paicipantresponsered","correct"
"4469","Subject30","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","215068","1000310","edm","paicipantresponseblue","correct","871"
"4470","Subject31","540","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","49","193735","1000310","edm","paicipantresponseblue","correct"
"4471","Subject32","647","alone","67","alone","colorred","test","num1","typenegative","singlestim","49","169060","1000310","edc","paicipantresponsered","correct"
"4472","Subject33","575","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","164653","1000310","edc","paicipantresponsered","correct"
"4473","Subject34","381","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","49","164991","1000310","edm","paicipantresponseblue","correct"
"4474","Subject35","440","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","49","161671","1000310","edc","paicipantresponsered","correct"
"4475","Subject36","559","success","67","success","colorred","test","num1","typepositive","singlestim","49","170983","1000310","edc","paicipantresponsered","correct"
"4476","Subject37","paper","67","paper","colorred","test","num1","typeneutral","singlestim","49","178186","1000310","edc","paicipantresponsered","correct","1038"
"4477","Subject38","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","182747","1000310","edm","paicipantresponseblue","correct","475"
"4478","Subject39","433","paper","67","paper","colorred","test","num1","typeneutral","singlestim","49","161552","1000310","edc","paicipantresponsered","correct"
"4479","Subject40","504","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","158491","1000310","edm","paicipantresponseblue","correct"
"4480","Subject41","alone","67","alone","colorred","test","num1","typenegative","singlestim","49","180947","1000310","edc","paicipantresponsered","correct","477"
"4481","Subject42","359","success","67","success","colorred","test","num1","typepositive","singlestim","49","162262","1000310","edc","paicipantresponsered","correct"
"4482","Subject43","468","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","181243","1000310","edm","paicipantresponseblue","correct"
"4483","Subject44","495","happy","67","happy","colorred","test","num1","typepositive","singlestim","49","160720","1000310","edc","paicipantresponsered","correct"
"4484","Subject45","678","success","77","success","colorblue","test","num1","typepositive","singlestim","49","168791","1000310","edm","paicipantresponseblue","correct"
"4485","Subject46","470","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","49","199152","1000310","edm","paicipantresponseblue","correct"
"4486","Subject47","509","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","49","164759","1000310","edm","paicipantresponseblue","correct"
"4487","Subject48","366","museum","67","museum","colorred","test","num1","typeneutral","singlestim","49","161664","1000310","edc","paicipantresponsered","correct"
"4488","Subject49","427","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","187243","1000310","edm","paicipantresponseblue","correct"
"4489","Subject50","566","success","77","success","colorred","test","num1","typepositive","singlestim","49","239163","1000310","edm","paicipantresponseblue","incorrect"
"4490","Subject51","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","152012","1000310","edm","paicipantresponseblue","correct","663"
"4491","Subject52","636","engine","67","engine","colorred","test","num1","typeneutral","singlestim","49","200555","1000310","edc","paicipantresponsered","correct"
"4492","Subject55","528","alone","77","alone","colorblue","test","num1","typenegative","singlestim","49","178385","1000310","edm","paicipantresponseblue","correct"
"4493","Subject56","367","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","49","168506","1000310","edc","paicipantresponsered","correct"
"4494","Subject57","746","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","49","7910701","1000310","edm","paicipantresponseblue","correct"
"4495","Subject58","happy","77","happy","colorblue","test","num1","typepositive","singlestim","49","201094","1000310","edm","paicipantresponseblue","correct","400"
"4496","Subject59","941","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","49","251072","1000310","edm","paicipantresponseblue","correct"
"4497","Subject60","431","alone","77","alone","colorblue","test","num1","typenegative","singlestim","49","181483","1000310","edm","paicipantresponseblue","correct"
"4498","Subject61","709","engine","67","engine","colorred","test","num1","typeneutral","singlestim","49","146895","1000310","edc","paicipantresponsered","correct"
"4499","Subject62","678","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","203190","1000310","edm","paicipantresponseblue","correct"
"4500","Subject63","441","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","49","751826","1000310","edc","paicipantresponsered","correct"
"4501","Subject64","542","success","77","success","colorblue","test","num1","typepositive","singlestim","49","165846","1000310","edm","paicipantresponseblue","correct"
"4502","Subject65","342","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","49","143305","1000310","edc","paicipantresponsered","correct"
"4503","Subject66","428","alone","67","alone","colorred","test","num1","typenegative","singlestim","49","145225","1000310","edc","paicipantresponsered","correct"
"4504","Subject67","338","dead","67","dead","colorred","test","num1","typesuicide","singlestim","49","165375","1000310","edc","paicipantresponsered","correct"
"4505","Subject68","433","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","190092","1000310","edc","paicipantresponsered","correct"
"4506","Subject69","354","dead","67","dead","colorred","test","num1","typesuicide","singlestim","49","150964","1000310","edc","paicipantresponsered","correct"
"4507","Subject70","1229","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","49","168022","1000310","edm","paicipantresponseblue","correct"
"4508","Subject71","927","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","169018","1000310","edm","paicipantresponseblue","correct"
"4509","Subject72","502","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","143362","1000310","edc","paicipantresponsered","correct"
"4510","Subject73","607","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","49","165734","1000310","edc","paicipantresponsered","correct"
"4511","Subject74","449","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","159318","1000310","edm","paicipantresponseblue","correct"
"4512","Subject75","425","engine","67","engine","colorred","test","num1","typeneutral","singlestim","49","187416","1000310","edc","paicipantresponsered","correct"
"4513","Subject76","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","162295","1000310","edc","paicipantresponsered","correct","1779"
"4514","Subject78","481","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","151349","1000310","edm","paicipantresponseblue","correct"
"4515","Subject79","","","","","","","","","","","","","","",""
"4516","Subject80","794","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","49","170179","1000310","edc","paicipantresponsered","correct"
"4517","Subject82","406","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","49","157984","1000310","edc","paicipantresponsered","correct"
"4518","Subject83","452","alone","77","alone","colorblue","test","num1","typenegative","singlestim","49","209262","1000310","edm","paicipantresponseblue","correct"
"4519","Subject84","487","pleasure","67","pleasure","colorblue","test","num1","typepositive","singlestim","49","189800","1000310","edc","paicipantresponsered","incorrect"
"4520","Subject85","677","happy","77","happy","colorblue","test","num1","typepositive","singlestim","49","168897","1000310","edm","paicipantresponseblue","correct"
"4521","Subject86","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","49","199648","1000310","edm","paicipantresponseblue","correct","854"
"4522","Subject87","478","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","147188","1000310","edc","paicipantresponsered","correct"
"4523","Subject88","859","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","201313","1000310","edc","paicipantresponsered","correct"
"4524","Subject89","710","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","49","169184","1000310","edm","paicipantresponseblue","correct"
"4525","Subject90","77","stupid","colorblue","test","num1","typenegative","singlestim","49","181292","1000310","edm","paicipantresponseblue","correct","801","dead"
"4526","Subject91","366","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","49","156322","1000310","edm","paicipantresponseblue","correct"
"4527","Subject92","381","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","49","200767","1000310","edm","paicipantresponseblue","correct"
"4528","Subject93","413","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","142538","1000310","edm","paicipantresponseblue","correct"
"4529","Subject94","355","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","152490","1000310","edc","paicipantresponsered","correct"
"4530","Subject95","570","success","77","success","colorblue","test","num1","typepositive","singlestim","49","155410","1000310","edm","paicipantresponseblue","correct"
"4531","Subject96","453","happy","77","happy","colorblue","test","num1","typepositive","singlestim","49","177942","1000310","edm","paicipantresponseblue","correct"
"4532","Subject97","637","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","162515","1000310","edm","paicipantresponseblue","correct"
"4533","Subject98","562","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","49","143747","1000310","edm","paicipantresponseblue","correct"
"4534","Subject99","340","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","164785","1000310","edm","paicipantresponseblue","correct"
"4535","Subject100","481","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","49","176622","1000310","edm","paicipantresponseblue","correct"
"4536","Subject101","462","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","170987","1000310","edm","paicipantresponseblue","correct"
"4537","Subject102","411","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","358223","1000310","edm","paicipantresponseblue","correct"
"4538","Subject103","385","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","239545","1000310","edc","paicipantresponsered","correct"
"4539","Subject104","472","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","1142768","1000310","edm","paicipantresponseblue","correct"
"4540","Subject105","560","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","161521","1000310","edm","paicipantresponseblue","correct"
"4541","Subject106","379","dead","67","dead","colorred","test","num1","typesuicide","singlestim","49","203056","1000310","edc","paicipantresponsered","correct"
"4542","Subject107","563","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","223063","1000310","edm","paicipantresponseblue","correct"
"4543","Subject108","362","paper","67","paper","colorred","test","num1","typeneutral","singlestim","49","189697","1000310","edc","paicipantresponsered","correct"
"4544","Subject109","pleasure","colorred","test","num1","typepositive","singlestim","49","172379","1000310","edc","paicipantresponsered","correct","500","alone","67"
"4545","Subject110","547","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","49","151495","1000310","edm","paicipantresponseblue","correct"
"4546","Subject111","452","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","49","199311","1000310","edc","paicipantresponsered","correct"
"4547","Subject112","379","success","67","success","colorred","test","num1","typepositive","singlestim","49","172143","1000310","edc","paicipantresponsered","correct"
"4548","Subject113","519","success","67","success","colorred","test","num1","typepositive","singlestim","49","148878","1000310","edc","paicipantresponsered","correct"
"4549","Subject114","456","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","49","204660","1000310","edc","paicipantresponsered","correct"
"4550","Subject115","530","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","49","172495","1000310","edm","paicipantresponseblue","correct"
"4551","Subject116","380","paper","67","paper","colorred","test","num1","typeneutral","singlestim","49","190798","1000310","edc","paicipantresponsered","correct"
"4552","Subject117","326","success","77","success","colorblue","test","num1","typepositive","singlestim","49","214045","1000310","edm","paicipantresponseblue","correct"
"4553","Subject118","490","museum","67","museum","colorred","test","num1","typeneutral","singlestim","49","188357","1000310","edc","paicipantresponsered","correct"
"4554","Subject119","641","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","161576","1000310","edc","paicipantresponsered","correct"
"4555","Subject120","880","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","49","575290","1000310","edm","paicipantresponseblue","correct"
"4556","Subject121","540","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","154975","1000310","edm","paicipantresponseblue","correct"
"4557","Subject123","427","alone","67","alone","colorred","test","num1","typenegative","singlestim","49","155282","1000310","edc","paicipantresponsered","correct"
"4558","Subject124","652","alone","67","alone","colorred","test","num1","typenegative","singlestim","49","198666","1000310","edc","paicipantresponsered","correct"
"4559","Subject125","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","159304","1000310","edc","paicipantresponsered","correct","596"
"4560","Subject126","517","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","185121","1000310","edm","paicipantresponseblue","correct"
"4561","Subject127","paper","67","paper","colorred","test","num1","typeneutral","singlestim","49","166115","1000310","edc","paicipantresponsered","correct","411"
"4562","Subject128","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","387206","1000310","edm","paicipantresponseblue","correct","642"
"4563","Subject129","352","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","155009","1000310","edc","paicipantresponsered","correct"
"4564","Subject130","497","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","49","164210","1000310","edm","paicipantresponseblue","correct"
"4565","Subject131","301","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","49","199648","1000310","edm","paicipantresponseblue","correct"
"4566","Subject132","454","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","151472","1000310","edm","paicipantresponseblue","correct"
"4567","Subject133","926","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","167865","1000310","edm","paicipantresponseblue","correct"
"4568","Subject134","385","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","49","156157","1000310","edm","paicipantresponseblue","correct"
"4569","Subject135","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","170981","1000310","edc","paicipantresponsered","correct","633"
"4570","Subject137","449","success","67","success","colorred","test","num1","typepositive","singlestim","49","165425","1000310","edc","paicipantresponsered","correct"
"4571","Subject138","585","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","202958","1000310","edc","paicipantresponsered","correct"
"4572","Subject139","399","success","77","success","colorblue","test","num1","typepositive","singlestim","49","160480","1000310","edm","paicipantresponseblue","correct"
"4573","Subject140","394","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","49","158255","1000310","edm","paicipantresponseblue","correct"
"4574","Subject141","369","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","49","199326","1000310","edc","paicipantresponsered","correct"
"4575","Subject142","435","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","49","206841","1000310","edm","paicipantresponseblue","correct"
"4576","Subject143","472","paper","67","paper","colorred","test","num1","typeneutral","singlestim","49","173468","1000310","edc","paicipantresponsered","correct"
"4577","Subject144","379","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","212754","1000310","edm","paicipantresponseblue","correct"
"4578","Subject145","337","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","49","174630","1000310","edc","paicipantresponsered","correct"
"4579","Subject146","456","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","206180","1000310","edm","paicipantresponseblue","correct"
"4580","Subject147","441","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","167643","1000310","edm","paicipantresponseblue","correct"
"4581","Subject148","601","happy","67","happy","colorred","test","num1","typepositive","singlestim","49","169230","1000310","edc","paicipantresponsered","correct"
"4582","Subject149","436","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","147349","1000310","edm","paicipantresponseblue","correct"
"4583","Subject150","67","engine","colorred","test","num1","typeneutral","singlestim","49","172815","1000310","edc","paicipantresponsered","correct","365","alone"
"4584","Subject151","550","alone","77","alone","colorblue","test","num1","typenegative","singlestim","49","142989","1000310","edm","paicipantresponseblue","correct"
"4585","Subject152","551","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","167664","1000310","edm","paicipantresponseblue","correct"
"4586","Subject154","461","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","540424","1000310","edc","paicipantresponsered","correct"
"4587","Subject155","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","152350","1000310","edc","paicipantresponsered","correct","476"
"4588","Subject156","417","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","260891","1000310","edm","paicipantresponseblue","correct"
"4589","Subject157","singlestim","49","175592","1000310","edm","paicipantresponseblue","correct","995","stupid","77","stupid","colorblue","test","num1","typenegative"
"4590","Subject158","441","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","158325","1000310","edm","paicipantresponseblue","correct"
"4591","Subject159","330","success","67","success","colorred","test","num1","typepositive","singlestim","49","166431","1000310","edc","paicipantresponsered","correct"
"4592","Subject181","510","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","237193","1000310","edc","paicipantresponsered","correct"
"4593","Subject182","395","museum","77","museum","colorred","test","num1","typeneutral","singlestim","49","176738","1000310","edm","paicipantresponseblue","incorrect"
"4594","Subject183","483","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","176457","1000310","edm","paicipantresponseblue","correct"
"4595","Subject184","501","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","167543","1000310","edm","paicipantresponseblue","correct"
"4596","Subject185","386","success","67","success","colorblue","test","num1","typepositive","singlestim","49","246838","1000310","edc","paicipantresponsered","incorrect"
"4597","Subject186","704","success","77","success","colorblue","test","num1","typepositive","singlestim","49","199527","1000310","edm","paicipantresponseblue","correct"
"4598","Subject187","engine","colorblue","test","num1","typeneutral","singlestim","49","194462","1000130","edm","paicipantresponseblue","correct","664","happy","77"
"4599","Subject188","success","67","success","colorred","test","num1","typepositive","singlestim","49","179050","1000310","edc","paicipantresponsered","correct","1"
"4600","Subject189","542","museum","67","museum","colorred","test","num1","typeneutral","singlestim","49","202693","1000310","edc","paicipantresponsered","correct"
"4601","Subject190","67","success","colorred","test","num1","typepositive","singlestim","49","163869","1000310","edc","paicipantresponsered","correct","385","funeral"
"4602","Subject191","547","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","189278","1000310","edm","paicipantresponseblue","correct"
"4603","Subject192","587","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","310044","1000310","edc","paicipantresponsered","correct"
"4604","Subject193","593","paper","67","paper","colorred","test","num1","typeneutral","singlestim","49","159554","1000310","edc","paicipantresponsered","correct"
"4605","Subject194","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","153526","1000310","edm","paicipantresponseblue","correct","810"
"4606","Subject196","692","dead","67","dead","colorred","test","num1","typesuicide","singlestim","49","187919","1000310","edc","paicipantresponsered","correct"
"4607","Subject197","309","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","49","159698","1000310","edc","paicipantresponsered","correct"
"4608","Subject198","335","engine","67","engine","colorred","test","num1","typeneutral","singlestim","49","241340","1000310","edc","paicipantresponsered","correct"
"4609","Subject199","colorblue","test","num1","typeneutral","singlestim","49","233731","1000310","edm","paicipantresponseblue","correct","694","suicide","67","suicide"
"4610","Subject200","665","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","49","172414","1000310","edm","paicipantresponseblue","correct"
"4611","Subject201","461","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","49","487152","1000310","edm","paicipantresponseblue","correct"
"4612","Subject202","479","success","77","success","colorblue","test","num1","typepositive","singlestim","49","569549","1000310","edm","paicipantresponseblue","correct"
"4613","Subject203","334","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","49","191334","1000310","edm","paicipantresponseblue","correct"
"4614","Subject204","637","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","49","145410","1000310","edm","paicipantresponseblue","correct"
"4615","Subject205","994","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","49","206249","1000310","edc","paicipantresponsered","correct"
"4616","Subject206","716","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","49","175242","1000310","edc","paicipantresponsered","correct"
"4617","Subject207","444","funeral","77","funeral","colorred","test","num1","typesuicide","singlestim","49","185387","1000310","edm","paicipantresponseblue","incorrect"
"4618","Subject208","628","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","186720","1000310","edc","paicipantresponsered","correct"
"4619","Subject209","397","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","49","143443","1000310","edm","paicipantresponseblue","correct"
"4620","Subject210","420","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","49","175143","1000310","edc","paicipantresponsered","correct"
"4621","Subject212","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","49","162532","1000310","edm","paicipantresponseblue","correct","677"
"4622","Subject213","686","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","49","186372","1000310","edm","paicipantresponseblue","correct"
"4623","Subject214","355","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","49","153036","1000310","edm","paicipantresponseblue","correct"
"4624","Subject215","331","happy","77","happy","colorblue","test","num1","typepositive","singlestim","49","159618","1000310","edm","paicipantresponseblue","correct"
"4625","Subject216","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","49","156391","1000310","edm","paicipantresponseblue","correct","614"
"4626","Subject217","351","happy","77","happy","colorblue","test","num1","typepositive","singlestim","49","170363","1000310","edm","paicipantresponseblue","correct"
"4627","Subject219","522","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","149332","1000310","edc","paicipantresponsered","correct"
"4628","Subject220","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","191362","1000310","edm","paicipantresponseblue","correct","595"
"4629","Subject221","444","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","49","167406","1000310","edc","paicipantresponsered","correct"
"4630","Subject222","388","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","49","168871","1000310","edm","paicipantresponseblue","correct"
"4631","Subject223","455","happy","77","happy","colorblue","test","num1","typepositive","singlestim","49","193528","1000310","edm","paicipantresponseblue","correct"
"4632","Subject224","404","success","77","success","colorblue","test","num1","typepositive","singlestim","49","165417","1000310","edm","paicipantresponseblue","correct"
"4633","Subject225","510","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","200785","1000310","edc","paicipantresponsered","correct"
"4634","Subject226","480","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","49","178092","1000310","edm","paicipantresponseblue","correct"
"4635","Subject227","552","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","49","162586","1000310","edc","paicipantresponsered","correct"
