esid,metaid,nosleep.findings,finding,year,first.author,sampletype,country,population,study.design,follow.up.yr,study.descript,totaln,time2.n,age.m,percentfemale,comparison,data.loc,sleepSTB.compareONLY,grp.notes,basicSTB,STBconstruct,STB.measure,STBmethod,STBdichot,sleepconstruct,addtinsom.sleep,basicsleepcon,sleep.measure,sleepmethod,sleepdichot,covar.adjusted,suicgrp.tot.n,suicgrp.m,suicgrp.sd,suicgrp.percent,suicgrp.corr,suicgrp.tau,suicgrp.StdBeta,sucigrp.b,suicgrp.SE,suicgrp.R2,suicgrp.HazR,scuigrp.RiskR,suicgrp.OR,suicgrp.CI.low,suicgrp.CI.high,suicgrp.tstat,scuigrp.X2,case.n,case.m,case.sd,case.percent,case.corr,case.StdBeta,case.OR,case.HazRatio,case.CI.low,case.CI.high,case.X2,case.tstat,ctrl.n,ctrl.m,ctrl.sd,ctrl.percent,ctrl.corr,ctrl.StdBeta,ctrl.OR,ctrl.CI.low,ctrl.CI.high,ctrl.tstat,ctrl.X2,othergrp.n,othergrp.m,othergrp.sd,othergrp.percent,othergrp.corr,othergrp.StdB,othergrp.OR,othergrp.CI.low,othergrp.CI.high,othergrp.tstat,othergrp.X2,othergrp2.n,othergrp2.m,othergrp2.sd,othergrp2.percent,othergrp2.corr,othergrp2.StdBeta,othergrp2.OR,othergrp2.CI.low,othergrp2.CI.high,othergrp2.tstat,othergrp2.X2,othergrp3.n,othergrp3.m,othergrp3.sd,othergrp3.percent,othergrp3.corr,othergrp3.StdBeta,othergrp3.OR,othergrp3.CI.low,othergrp3.CI.high,othergrp3.tstat,othergrp3.X2
100,149,4,2,2015,Sun,Clinical,China,Adolescent Adult,Psychological Autopsy,,,804,NA,NA,NA,CaseCtrl,CaseCtrl,,,SD,Suicide death,no measure,Medical Record,Categorical,Difficulty maintaining sleep,Difficulty maintaining sleep,Insomnia,Hamilton Depression Rating Scale ,Self-report; Informant Report,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,416,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,149,4,3,2015,Sun,Clinical,China,Adolescent Adult,Psychological Autopsy,,,804,NA,NA,NA,CaseCtrl,CaseCtrl,,,SD,Suicide death,no measure,Medical Record,Categorical,Early morning awakening,Early morning awakening,Insomnia,Hamilton Depression Rating Scale ,Self-report; Informant Report,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA,416,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,149,4,4,2015,Sun,Clinical,China,Adolescent Adult,Psychological Autopsy,,,804,NA,NA,NA,CaseCtrl,CaseCtrl,,,SD,Suicide death,no measure,Medical Record,Categorical,Any insomnia symptom,Insomnia,Insomnia,Hamilton Depression Rating Scale ,Self-report; Informant Report,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,NA,NA,33.2,NA,NA,NA,NA,NA,NA,NA,NA,416,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,140,1,1,2017,Silva,Military,USA,Adult,Cross-sectional,,,3428,NA,29.92,7.9,SuicGrp,SuicGrp,yes,,SI,SI,Depression Severity Index - Suicide Subscale (DSISS) ,Self-report,Continuous,Insomnia,Insomnia,Insomnia,ISI,Self-report,Continuous,no,,NA,NA,NA,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,139,1,1,2013,Shekunov,Clinical,USA,Adult,Cross-sectional,,,40,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SA,SA,no measure,Medical Record,Categorical,Insomnia,Insomnia,Insomnia,no measure,Medical Record,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,136,54,1,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Total recording period (TRP; min),Time recording,Time recording,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,433,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,424.2,33.2,NA,NA,NA,NA,NA,NA,NA,NA,21,424.1,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,136,54,2,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Time spent asleep (TSA; min),Total sleep time,Total sleep time,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,355,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,377.1,49.4,NA,NA,NA,NA,NA,NA,NA,NA,21,358.3,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,136,54,3,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Sleep latency (SL; min),Sleep latency,Sleep latency,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,47.1,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,15.4,10,NA,NA,NA,NA,NA,NA,NA,NA,21,23.2,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,136,54,4,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Awake (A; min),Awake,Awake,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,50.9,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,31.7,31.2,NA,NA,NA,NA,NA,NA,NA,NA,21,42.7,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,136,54,5,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Ratio: A to TSA,Awake,Awake,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,21,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,136,54,6,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Awake last 2 hours (min),Awake,Awake,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,19.2,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,12,12,NA,NA,NA,NA,NA,NA,NA,NA,21,22.6,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,136,54,7,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Sleep maintenance (TSA/TRP-SL),Sleep maintenance,Sleep maintenance,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,87.5,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,92.1,7.8,NA,NA,NA,NA,NA,NA,NA,NA,21,89.7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,136,54,8,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Sleep efficiency (TSA/TRP),Sleep efficiency,Sleep efficiency,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,78.4,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,88.8,8.3,NA,NA,NA,NA,NA,NA,NA,NA,21,84.7,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,136,54,9,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Stage 1 (%),Stage 1,Stage 1,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,7.1,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,7.7,4,NA,NA,NA,NA,NA,NA,NA,NA,21,6.7,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,136,54,10,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Stage 2 (%),Stage 2,Stage 2,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,60.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,60.8,9.6,NA,NA,NA,NA,NA,NA,NA,NA,21,58.6,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,136,54,11,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Stage 3 (%),Stage 3 ,Stage 3 ,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6.4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,5.3,5.1,NA,NA,NA,NA,NA,NA,NA,NA,21,7.3,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,136,54,12,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Stage 4 (%),Stage 4,Stage 4,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,4,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3.2,5.3,NA,NA,NA,NA,NA,NA,NA,NA,21,3.7,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,136,54,13,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Delta % (Stage 3 + 4),Delta,Delta,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,10.4,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8.5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,21,11,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,136,54,14,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REM time (RT; min),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,758,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,86.3,23.4,NA,NA,NA,NA,NA,NA,NA,NA,21,85.7,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,136,54,15,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Number of REMPs,REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,21,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,136,54,16,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REM (%),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21.8,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,22.7,4.8,NA,NA,NA,NA,NA,NA,NA,NA,21,23.5,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,136,54,17,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REM activity (RA; units),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,115.4,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,112.3,41.5,NA,NA,NA,NA,NA,NA,NA,NA,21,122.6,75.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,136,54,18,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REM latency minus awake (RLA; min),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,69.8,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,79.9,25.5,NA,NA,NA,NA,NA,NA,NA,NA,21,62.6,55.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,136,54,19,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,Minimum RLA (min),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,49.3,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,61.2,17.3,NA,NA,NA,NA,NA,NA,NA,NA,21,44.4,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,136,54,20,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REM density (RA/RT),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,21,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,136,54,21,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REM intensity (RA/TSA),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,21,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,136,54,22,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REMP 1: Time (min),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,19,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,20.9,9.4,NA,NA,NA,NA,NA,NA,NA,NA,21,21.7,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,136,54,23,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REMP 1: Activity (units),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,26.8,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,22.4,12.8,NA,NA,NA,NA,NA,NA,NA,NA,21,29.1,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,136,54,24,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REMP 1: Density (time/activity),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,21,1.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,136,54,25,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REMP 2: Time (min),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,25.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,23,7.6,NA,NA,NA,NA,NA,NA,NA,NA,21,17.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,136,54,26,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REMP 2: Activity (units),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,36.8,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,28.6,16,NA,NA,NA,NA,NA,NA,NA,NA,21,22.3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,136,54,27,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REMP 2: Density (time/activity),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,21,1.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,136,54,28,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REMP 3: Time (min),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,27.1,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,28.1,11.4,NA,NA,NA,NA,NA,NA,NA,NA,21,25.4,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,136,54,29,1991,Sabo,Clinical,USA,Adult,Cross-sectional,,,63,NA,NA,NA,CaseCtrlClinicalCtrl,CaseCtrlOthergrp,no,,SA,Lifetime SA,Hamilton Rating Scale for Depression Item 3 being 3 (severe) or above,Interview,Categorical,REMP 3: Activity (units),REM,REM,PSG,objective,Continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,43.6,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,38.3,21.1,NA,NA,NA,NA,NA,NA,NA,NA,21,36.5,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
