esid,metaid,nosleep.findings,finding,year,first.author,sampletype,country,population,study.design,follow.up.yr,study.descript,totaln,time2.n,age.m,percentfemale,comparison,data.loc,sleepSTB.compareONLY,grp.notes,basicSTB,STBconstruct,STB.measure,STBmethod,STBdichot,sleepconstruct,addtinsom.sleep,basicsleepcon,sleep.measure,sleepmethod,sleepdichot,covar.adjusted,suicgrp.tot.n,suicgrp.m,suicgrp.sd,suicgrp.percent,suicgrp.corr,suicgrp.tau,suicgrp.StdBeta,sucigrp.b,suicgrp.SE,suicgrp.R2,suicgrp.HazR,scuigrp.RiskR,suicgrp.OR,suicgrp.CI.low,suicgrp.CI.high,suicgrp.tstat,scuigrp.X2,case.n,case.m,case.sd,case.percent,case.corr,case.StdBeta,case.OR,case.HazRatio,case.CI.low,case.CI.high,case.X2,case.tstat,ctrl.n,ctrl.m,ctrl.sd,ctrl.percent,ctrl.corr,ctrl.StdBeta,ctrl.OR,ctrl.CI.low,ctrl.CI.high,ctrl.tstat,ctrl.X2,othergrp.n,othergrp.m,othergrp.sd,othergrp.percent,othergrp.corr,othergrp.StdB,othergrp.OR,othergrp.CI.low,othergrp.CI.high,othergrp.tstat,othergrp.X2,othergrp2.n,othergrp2.m,othergrp2.sd,othergrp2.percent,othergrp2.corr,othergrp2.StdBeta,othergrp2.OR,othergrp2.CI.low,othergrp2.CI.high,othergrp2.tstat,othergrp2.X2,othergrp3.n,othergrp3.m,othergrp3.sd,othergrp3.percent,othergrp3.corr,othergrp3.StdBeta,othergrp3.OR,othergrp3.CI.low,othergrp3.CI.high,othergrp3.tstat,othergrp3.X2 
178,80,3,1,2016,Kim,Community,Korea,Adolescent,Cross-sectional,,,58848,,15.03,48.9,SuicGrp,SuicGrp,yes,compared to 9 hours of sleep,SI,Past year SI,Korea Youth Risk Behavior Web-based Survey ,Self-report,Categorical,Sleep duration (7-8 hours),Sleep duration,Sleep duration,Korea Youth Risk Behavior Web-based Survey ,Self-report,Categorical,yes,,,,,,,,,,,,,0.973,0.817,1.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,80,3,2,2016,Kim,Community,Korea,Adolescent,Cross-sectional,,,58848,,15.03,48.9,SuicGrp,SuicGrp,yes,compared to 9 hours of sleep,SI,Past year SI,Korea Youth Risk Behavior Web-based Survey ,Self-report,Categorical,Sleep duration (5-6 hours),Sleep duration,Sleep duration,Korea Youth Risk Behavior Web-based Survey ,Self-report,Categorical,yes,,,,,,,,,,,,,1.11,0.932,1.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,80,3,3,2016,Kim,Community,Korea,Adolescent,Cross-sectional,,,58848,,15.03,48.9,SuicGrp,SuicGrp,yes,compared to 9 hours of sleep,SI,Past year SI,Korea Youth Risk Behavior Web-based Survey ,Self-report,Categorical,Sleep duration (less 4 hours),Sleep duration,Sleep duration,Korea Youth Risk Behavior Web-based Survey ,Self-report,Categorical,yes,,,,,,,,,,,,,1.367,1.13,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,88,2,1,2016,Lee,Community,Korea,Adult,Cross-sectional,,,280,,,,SuicGrp,SuicGrp,yes,,Suicidality,Suicidality,Depression Severity Index - Suicide Subscale (DSISS) ,Self-report,Continuous,Nightmare Frequency,Nightmares,Nightmares,DDNSI,Self-report,Continuous,no,,,,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,88,2,2,2016,Lee,Community,Korea,Adult,Cross-sectional,,,280,,,,SuicGrp,SuicGrp,yes,,Suicidality,Suicidality,Depression Severity Index - Suicide Subscale (DSISS) ,Self-report,Continuous,Insomnia,Insomnia,Insomnia,ISI,Self-report,Continuous,no,,,,,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,93,7,1,2018,Littlewood,Community,UK,Adult,Prospective,,,51,,35.47,67,SuicGrp,SuicGrp,yes,,SI,Level of SI,no measure,Self-report,Continuous,Total Sleep Time,Total sleep time,Total sleep time,Consensus Sleep Diary ,Self-report,Continuous,yes,,,,,,,-0.0801,,,,,,,-0.0984,-0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,93,7,2,2018,Littlewood,Community,UK,Adult,Prospective,,,51,,35.47,67,SuicGrp,SuicGrp,yes,,SI,Level of SI,no measure,Self-report,Continuous,Total Sleep Time,Total sleep time,Total sleep time,PSG,Objective,Continuous,yes,,,,,,,-0.0876,,,,,,,-0.1387,-0.0133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,93,7,3,2018,Littlewood,Community,UK,Adult,Prospective,,,51,,35.47,67,SuicGrp,SuicGrp,yes,,SI,Level of SI,no measure,Self-report,Continuous,Sleep efficiency,Sleep efficiency,Sleep efficiency,Consensus Sleep Diary ,Self-report,Continuous,yes,,,,,,,-0.0344,,,,,,,-0.0082,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,93,7,4,2018,Littlewood,Community,UK,Adult,Prospective,,,51,,35.47,67,SuicGrp,SuicGrp,yes,,SI,Level of SI,no measure,Self-report,Continuous,Sleep efficiency,Sleep efficiency,Sleep efficiency,PSG,Objective,Continuous,yes,,,,,,,-0.0683,,,,,,,-0.019,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,93,7,5,2018,Littlewood,Community,UK,Adult,Prospective,,,51,,35.47,67,SuicGrp,SuicGrp,yes,,SI,Level of SI,no measure,Self-report,Continuous,Sleep onset latency,Sleep onset latency,Sleep onset latency,Consensus Sleep Diary ,Self-report,Continuous,yes,,,,,,,0.025,,,,,,,-0.0011,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,93,7,6,2018,Littlewood,Community,UK,Adult,Prospective,,,51,,35.47,67,SuicGrp,SuicGrp,yes,,SI,Level of SI,no measure,Self-report,Continuous,Sleep onset latency,Sleep onset latency,Sleep onset latency,PSG,Objective,Continuous,yes,,,,,,,0.0179,,,,,,,-0.0018,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,93,7,7,2018,Littlewood,Community,UK,Adult,Prospective,,,51,,35.47,67,SuicGrp,SuicGrp,yes,,SI,Level of SI,no measure,Self-report,Continuous,Sleep quality,Sleep quality,Sleep quality,Sleep Condition Indicator ,Self-report,Continuous,yes,,,,,,,-0.1093,,,,,,,-0.2508,-0.0532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,77,8,1,1994,Keshavan,Clinical,USA,Adult,Cross-sectional,,,39,,,,CaseCtrl,CaseCtrl,no,,Suicidality,Lifetime Suicidality,no measure,Medical Record,Categorical,Number of REMPs,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,19,3.37,0.88,,,,,,,,,,20,3.4,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,77,8,2,1994,Keshavan,Clinical,USA,Adult,Cross-sectional,,,39,,,,CaseCtrl,CaseCtrl,no,,Suicidality,Lifetime Suicidality,no measure,Medical Record,Categorical,REM Latency - awake,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,19,54.82,27.54,,,,,,,,,,20,58.1,28.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,77,8,3,1994,Keshavan,Clinical,USA,Adult,Cross-sectional,,,39,,,,CaseCtrl,CaseCtrl,no,,Suicidality,Lifetime Suicidality,no measure,Medical Record,Categorical,Total REM Time,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,19,24.55,91,,,,,,,,,,20,75.05,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,77,8,4,1994,Keshavan,Clinical,USA,Adult,Cross-sectional,,,39,,,,CaseCtrl,CaseCtrl,no,,Suicidality,Lifetime Suicidality,no measure,Medical Record,Categorical,Total REM Activity,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,19,151.18,78.82,,,,,,,,,,20,117.38,63.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,77,8,5,1994,Keshavan,Clinical,USA,Adult,Cross-sectional,,,39,,,,CaseCtrl,CaseCtrl,no,,Suicidality,Lifetime Suicidality,no measure,Medical Record,Categorical,Total REM Density,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,19,1.69,0.7,,,,,,,,,,20,1.5,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,77,8,6,1994,Keshavan,Clinical,USA,Adult,Cross-sectional,,,39,,,,CaseCtrl,CaseCtrl,no,,Suicidality,Lifetime Suicidality,no measure,Medical Record,Categorical,REM Time  REM P1,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,19,21,7.75,,,,,,,,,,20,15.48,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,77,8,7,1994,Keshavan,Clinical,USA,Adult,Cross-sectional,,,39,,,,CaseCtrl,CaseCtrl,no,,Suicidality,Lifetime Suicidality,no measure,Medical Record,Categorical,REM Activity REM P1,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,19,39.29,37.11,,,,,,,,,,20,22.33,16.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,77,8,8,1994,Keshavan,Clinical,USA,Adult,Cross-sectional,,,39,,,,CaseCtrl,CaseCtrl,no,,Suicidality,Lifetime Suicidality,no measure,Medical Record,Categorical,Rem Density REM P1,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,19,1.65,0.85,,,,,,,,,,20,1.24,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,92,4,1,2016,Li,Clinical,China,Adult,Cross-sectional,,,388,,41,54.9,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Lifetime SA with Sleep vs Lifetime SA with no sleep,SA,Lifetime SA,no measure,Self-report,Categorical,Insomnia,Insomnia,Insomnia,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,75,,,25,,,,,,,,,,,,,,,,,,,,313,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,92,4,2,2016,Li,Clinical,China,Adult,Cross-sectional,,,388,,41,54.9,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Lifetime SA with Sleep vs Lifetime SA with no sleep,SA,Lifetime SA,no measure,Self-report,Categorical,Nightmares,Nightmares,Nightmares,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,35,,,37.1,,,,,,,,,,,,,,,,,,,,353,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,92,4,3,2016,Li,Clinical,China,Adult,Prospective,,,,,,,SuicGrp,SuicGrp,yes,,SA,Future SA (8 years),no measure,Self-report,Categorical,Insomnia,Insomnia,Insomnia,no measure,Self-report,Categorical,yes,,,,,,,,,,,4.63,,,1.4,15.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,92,4,4,2016,Li,Clinical,China,Adult,Prospective,,,,,,,SuicGrp,SuicGrp,yes,,SA,Future SA (8 years),no measure,Self-report,Categorical,Insomnia + Nightmares,Insomnia + Nightmares,Insomnia + Nightmares,no measure,Self-report,Categorical,no,,,,,,,,,,,7.43,,,1.54,35.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,90,5,1,1996,Lewis,Clinical,USA,Adult,Cross-sectional,,,96,,29,31.25,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,SADS,Interview,Categorical,REM Latency,REM,REM,PSG,Objective,Continuous,no,78,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,90,5,2,1996,Lewis,Clinical,USA,Adult,Cross-sectional,,,96,,29,31.25,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,SADS,Interview,Categorical,Total REM  (min),REM,REM,PSG,Objective,Continuous,no,78,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,90,5,3,1996,Lewis,Clinical,USA,Adult,Cross-sectional,,,96,,29,31.25,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,SADS,Interview,Categorical,REM Activity,REM,REM,PSG,Objective,Continuous,no,78,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,90,5,4,1996,Lewis,Clinical,USA,Adult,Cross-sectional,,,96,,29,31.25,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,SADS,Interview,Categorical,Slow-wave Sleep (%),Slow wave sleep,Slow wave sleep,PSG,Objective,Continuous,no,78,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,90,5,5,1996,Lewis,Clinical,USA,Adult,Cross-sectional,,,96,,29,31.25,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,SADS,Interview,Categorical,Baseline cortisol,Baseline cortisol,Baseline cortisol,PSG,Objective,Continuous,no,57,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,130,3,1,2008,Roane,Community,USA,Adolescent,Cross-sectional,,,4494,,15.83,52.4,SuicGrp,SuicGrp,yes,,SI,Lifetime SI,no measure,Self-report,Categorical,Insomnia,Insomnia,Insomnia,no measure,Self-report,Categorical,yes,,,,,,,,,,,,,2.1,1.63,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,130,3,2,2008,Roane,Community,USA,Adolescent,Cross-sectional,,,4494,,15.83,52.4,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,no measure,Self-report,Categorical,Insomnia,Insomnia,Insomnia,no measure,Self-report,Categorical,yes,,,,,,,,,,,,,1.76,0.77,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,130,3,3,2008,Roane,Community,USA,Adolescent,Prospective,6-7 years,,3852,,21.25,54.4,SuicGrp,SuicGrp,yes,,SA,Future SA,no measure,Self-report,Categorical,Insomnia,Insomnia,Insomnia,no measure,Self-report,Categorical,no,,,,,,,,,,,,,2.85,1.24,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,121,1,1,2012,Pigeon,Military,USA,Adult,Retrospective,,,381,,,6.2,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,yes,Suicide death w SD vs Suicide death  NO SD,SD,Suicide death,no measure,Medical Record,Categorical,Sleep disturbance,Sleep disturbance,Sleep disturbance,no measure,Medical Record,Categorical,no,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,70,10,1,2016,Ibilogu,Clinical (SA only),Turkey,Adult,Cross-sectional,,,106,,31.86,53,SingleSAMultiSA,CaseOthergrp,no,Multi SA vs Single SA,SA,Multi SA vs Sinle SA,no measure,Self-report,Categorical,Sleep quality (composite),Sleep quality,Sleep quality,PSQI,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,56,14.48,3.91,,,,,,,,,,,,,,,,,,,,,50,10.18,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,169,2,1,2006,Yoshimasu,Clinical (SA only),Japan,Adult,Cross-sectional,,,231,,,41.1,CaseCtrl,CaseCtrl,no,Control: No SI & Y to SD,SI,SI,no measure,Self-report,Categorical,Sleep Disorder,Sleep Disorder,Sleep Disorder,no measure,Medical Record,Categorical,no,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,169,2,2,2006,Yoshimasu,Clinical (SA only),Japan,Adult,Cross-sectional,,,231,,,41.1,CaseCtrl,CaseCtrl,no,Ctrl: No SI & Y to Insom,SI,SI,no measure,Self-report,Categorical,Insomnia,Insomnia,Insomnia,no measure,Medical Record,Categorical,no,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,61,4,1,2008,Goodwin,Community,USA,Adolescent Adult,Cross-sectional,,,8089,,,,SuicGrp,SuicGrp,yes,,SI,Past year SI,no measure,Self-report,Categorical,Short sleep duration (1-5 hr per night),Sleep duration,Sleep duration,no measure,Self-report,Categorical,no,,,,,,,,,,,,,3.5,2.2,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,61,4,2,2008,Goodwin,Community,USA,Adolescent Adult,Cross-sectional,,,8089,,,,SuicGrp,SuicGrp,yes,,SA,Past year SA,no measure,Self-report,Categorical,Short sleep duration (1-5 hr per night),Sleep duration,Sleep duration,no measure,Self-report,Categorical,no,,,,,,,,,,,,,5.1,2.1,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,61,4,3,2008,Goodwin,Community,USA,Adolescent Adult,Cross-sectional,,,8089,,,,SuicGrp,SuicGrp,yes,,SI,Lifetime SI,no measure,Self-report,Categorical,Short sleep duration (1-5 hr per night),Sleep duration,Sleep duration,no measure,Self-report,Categorical,no,,,,,,,,,,,,,2.1,1.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,61,4,4,2008,Goodwin,Community,USA,Adolescent Adult,Cross-sectional,,,8089,,,,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,no measure,Self-report,Categorical,Short sleep duration (1-5 hr per night),Sleep duration,Sleep duration,no measure,Self-report,Categorical,no,,,,,,,,,,,,,2.3,1.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3,22,1,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,REM latency  (min0,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,13,56.6,18.8,,,,,,,,,,13,127.1,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3,22,2,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,REM %,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,13,22.6,5.9,,,,,,,,,,13,17.3,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,3,22,3,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Number of REM periods,REM,REM,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,13,4.1,0.8,,,,,,,,,,13,3.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,3,22,4,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Slow wave %,Slow wave sleep,Slow wave sleep,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,13,17.7,7.6,,,,,,,,,,13,18.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,3,22,5,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Slow wave sleep (min),Slow wave sleep,Slow wave sleep,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,13,69.2,29.1,,,,,,,,,,13,71.7,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,3,22,6,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Total Sleep time,Total Sleep Time,Total Sleep Time,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,13,394.3,31.1,,,,,,,,,,13,406.4,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,3,22,7,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep efficiency,Sleep efficiency,Sleep efficiency,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,13,0.93,0.8,,,,,,,,,,13,0.96,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,3,22,8,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,REM Latency less than or equal to 65 min.,Dreams,Dreams,PSG,Objective,Continuous,no,,,,,,,,,,,,,,,,,,13,,,77,,,,,,,,,13,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,3,22,9,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,DLQd (dream-like quality) - higher first half of the night,Dreams,Dreams,no measure,Self-report,Continuous,no,,,,,,,,,,,,,,,,,,13,,,46,,,,,,,,,13,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,3,22,10,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,DLQd (dream-like quality) - higher last half of the night,Dreams,Dreams,no measure,Self-report,Continuous,no,,,,,,,,,,,,,,,,,,13,,,54,,,,,,,,,13,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,3,22,11,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Negative Dream - first half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,8.3,,,,,,,,,13,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,3,22,12,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Negative Dream - last half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,27.3,,,,,,,,,13,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,3,22,13,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Neutral Dream - first half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,58.4,,,,,,,,,13,,,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,3,22,14,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Neutral Dream - last half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,36.3,,,,,,,,,13,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,3,22,15,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Positive Dream - first half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,33.3,,,,,,,,,13,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,3,22,16,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Positive Dream - last half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,36.4,,,,,,,,,13,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,3,22,17,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Unemotional Dream - first half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,53.8,,,,,,,,,13,,,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,3,22,18,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Unemotional Dream - last half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,36.4,,,,,,,,,13,,,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,3,22,19,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Mildly emotional Dream - first half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,7.7,,,,,,,,,13,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,3,22,20,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Mildly emotional Dream - last half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,45.4,,,,,,,,,13,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,3,22,21,2003,Agargun,Community,USA,Adult,Prospective,3 nights,,26,,,61.54,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Strongly emotional Dream - first half of the night,Dreams,Dreams,no measure,Self-report,Categorical,no,,,,,,,,,,,,,,,,,,13,,,38.5,,,,,,,,,13,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
