,treat.n,treat.sd,treat.m,population,basicsleepcon,esid,metaid,basicSTB,type
438,NA,NA,NA,Adult,Nightmares,438,87,SI,case
439,NA,NA,NA,Adult,Nightmares,439,87,SI,case
440,NA,NA,NA,Adult,Nightmares,440,87,SI,case
441,NA,NA,NA,Adult,Sleep quality,441,87,SA,case
442,NA,NA,NA,Adult,Nightmares,442,87,SA,case
443,NA,NA,NA,Adult,Nightmares,443,87,SA,case
444,NA,NA,NA,Adult,Nightmares,444,87,SA,case
445,NA,NA,NA,Adult,Nightmares,445,91,SA,case
446,NA,NA,NA,Adult,Insomnia,446,91,SA,case
447,NA,NA,NA,Adult,Sleep disturbance,447,91,SA,case
448,NA,NA,NA,Adult,Nightmares,448,91,SA,case
449,NA,NA,NA,Adult,Insomnia,449,91,SA,case
450,NA,NA,NA,Adult,Sleep disturbance,450,91,SA,case
451,NA,NA,NA,Adult,Insomnia,451,91,SA,case
452,NA,NA,NA,Adult,Insomnia,452,91,SA,case
453,NA,NA,NA,Adult,Insomnia,453,91,SA,case
454,NA,NA,NA,Adult,Nightmares,454,91,SA,case
455,NA,NA,NA,Adult,Nightmares,455,91,SA,case
456,NA,NA,NA,Adult,Nightmares,456,91,SA,case
457,43,NA,2.1,Adult,Sleep disturbance,457,94,SA,case
458,167,NA,NA,Adolescent,Sleep duration,458,96,SI,case
459,167,NA,NA,Adolescent,Sleep duration,459,96,SI,case
460,167,NA,NA,Adolescent,Sleep duration,460,96,SI,case
461,167,NA,NA,Adolescent,Sleep duration,461,96,SI,case
462,167,NA,NA,Adolescent,Nightmares,462,96,SI,case
463,167,NA,NA,Adolescent,Nightmares,463,96,SI,case
464,167,NA,NA,Adolescent,Nightmares,464,96,SI,case
465,167,NA,NA,Adolescent,Insomnia,465,96,SI,case
466,167,NA,NA,Adolescent,Insomnia,466,96,SI,case
467,167,NA,NA,Adolescent,Insomnia,467,96,SI,case
468,167,NA,NA,Adolescent,Insomnia,468,96,SI,case
469,NA,NA,NA,Adult,Sleep duration,469,98,SA,case
470,NA,NA,NA,Adult,Sleep duration,470,98,SA,case
471,NA,NA,NA,Adult,Sleep duration,471,98,SA,case
472,156,NA,NA,Adult,Insomnia,472,105,SD,case
473,156,NA,NA,Adult,Hypersomnia,473,105,SD,case
474,NA,NA,NA,Adolescent,Sleep duration,474,107,SI,case
475,NA,NA,NA,Adolescent,Sleep duration,475,107,SI,case
476,NA,NA,NA,Adult,Sleep disturbance,476,110,SI,case
477,NA,NA,NA,Adult,Sleep disturbance,477,110,SI,case
478,NA,NA,NA,Adult,Insomnia,478,111,Suicidality,case
479,NA,NA,NA,Adult,Insomnia,479,111,SA,case
480,NA,NA,NA,Adult,Nightmares,480,111,Suicidality,case
481,NA,NA,NA,Adult,Nightmares,481,111,SA,case
482,NA,NA,NA,Adult,Insomnia,482,111,SA,case
483,NA,NA,NA,Adult,Nightmares,483,111,SA,case
484,NA,NA,NA,Adult,Insomnia,484,112,Suicidality,case
485,NA,NA,NA,Adult,Insomnia,485,112,Suicidality,case
486,NA,NA,NA,Adult,Nightmares,486,112,Suicidality,case
487,NA,NA,NA,Adult,Nightmares,487,112,Suicidality,case
488,NA,NA,NA,Adult,Insomnia,488,114,SI,case
489,NA,NA,NA,Adult,Nightmares,489,114,SI,case
490,NA,NA,NA,Adult,Insomnia,490,116,SI,case
491,NA,NA,NA,Adolescent,Sleep duration,491,118,SI,case
492,NA,NA,NA,Adolescent,Sleep duration,492,118,SI,case
493,NA,NA,NA,Adolescent,Sleep duration,493,118,SI,case
494,NA,NA,NA,Adolescent,Sleep duration,494,118,SI,case
495,NA,NA,NA,Adolescent,Sleep duration,495,118,SI,case
496,NA,NA,NA,Adolescent,Restorative Sleep,496,118,SI,case
497,NA,NA,NA,Adolescent,Restorative Sleep,497,118,SI,case
498,NA,NA,NA,Adolescent,Restorative Sleep,498,118,SI,case
499,NA,NA,NA,Adolescent,Sleep duration,499,118,SA,case
500,NA,NA,NA,Adolescent,Sleep duration,500,118,SA,case
501,NA,NA,NA,Adolescent,Sleep duration,501,118,SA,case
502,NA,NA,NA,Adolescent,Sleep duration,502,118,SA,case
503,NA,NA,NA,Adolescent,Restorative Sleep,503,118,SA,case
504,NA,NA,NA,Adolescent,Restorative Sleep,504,118,SA,case
505,NA,NA,NA,Adolescent,Restorative Sleep,505,118,SA,case
506,NA,NA,NA,Adolescent,Restorative Sleep,506,118,SA,case
507,46,NA,NA,Adult,Insomnia,507,119,SA,case
508,71,NA,NA,Adult,Insomnia,508,120,SI,case
509,71,22.6,29.7,Adult,Sleep latency,509,120,SI,case
510,71,26.3,29.7,Adult,Wake after sleep onset,510,120,SI,case
511,71,1.2,1.9,Adult,Night awakenings,511,120,SI,case
512,71,77.1,416.9,Adult,Total sleep time,512,120,SI,case
513,71,10.2,83.4,Adult,Sleep efficiency,513,120,SI,case
514,71,NA,NA,Adult,Nocturnal leg jerks,514,120,SI,case
515,40,NA,NA,Adult,Insomnia,515,122,SD,case
516,21,3.1,15.1,Adult,Sleep quality,516,123,SI,case
517,12,3.66,12.5,Adult,Sleep disturbance,517,143,SI,case
518,12,0.57,2.2,Adult,Sleep quality,518,143,SI,case
519,12,0.52,2.6,Adult,Sleep latency,519,143,SI,case
520,12,0.99,1.33,Adult,Sleep duration,520,143,SI,case
521,12,1.08,1.38,Adult,Sleep efficiency,521,143,SI,case
522,12,0.39,2.2,Adult,Sleep disturbance,522,143,SI,case
523,20,NA,12,Adult,Sleep quality,523,154,SD,case
524,50,NA,NA,Adult,Sleep quality,524,160,Suicidality,case
525,13,0.8,2,Adult,Sleep quality,525,161,SI,case
526,13,1,1.6,Adult,Sleep latency,526,161,SI,case
527,13,1.3,1.1,Adult,Sleep duration,527,161,SI,case
528,13,1.1,0.6,Adult,Sleep efficiency,528,161,SI,case
529,13,0.7,1.9,Adult,Sleep disturbance,529,161,SI,case
530,13,4.8,9.5,Adult,Sleep disturbance,530,161,SI,case
531,NA,NA,NA,Adult,Insomnia,531,163,SI,case
532,NA,NA,NA,Adult,Insomnia,532,163,SP,case
533,NA,NA,NA,Adult,Insomnia,533,163,SA,case
534,NA,NA,NA,Adult,Insomnia,534,163,SI,case
535,NA,NA,NA,Adult,Insomnia,535,163,SP,case
536,NA,NA,NA,Adult,Insomnia,536,163,SA,case
537,NA,NA,NA,Adult,Insomnia,537,163,SI,case
538,NA,NA,NA,Adult,Insomnia,538,163,SP,case
539,NA,NA,NA,Adult,Insomnia,539,163,SA,case
540,NA,NA,NA,Adolescent,Sleep disturbance,540,165,SI,case
541,NA,NA,NA,Adolescent,Nightmares,541,165,SI,case
542,NA,NA,NA,Adult,Insomnia,542,167,SI,case
543,NA,NA,NA,Adult,Sleep duration,543,172,Suicidality,case
544,NA,NA,NA,Adult,Circadian Disturbance,544,172,Suicidality,case
545,NA,NA,NA,Adolescent,Sleep duration,545,178,SI,case
546,NA,NA,NA,Adolescent,Sleep duration,546,178,SI,case
547,NA,NA,NA,Adolescent,Sleep duration,547,178,SI,case
548,64,NA,NA,Adult,Insomnia,548,179,SD,case
549,NA,NA,NA,Adult,Nightwalking,549,187,SI,case
550,NA,NA,NA,Adult,Sleep disturbance,550,187,SI,case
551,NA,NA,NA,Adult,Sleep quality,551,187,SI,case
552,393,NA,NA,Adult,Insomnia,552,188,SA,case
553,48,NA,NA,Adult,Insomnia,553,188,SA,case
554,249,NA,NA,Adult,Insomnia,554,190,SA,case
555,249,NA,NA,Adult,Insomnia,555,190,SA,case
556,249,NA,NA,Adult,Insomnia,556,190,SA,case
557,616,NA,NA,Adult,Insomnia,557,190,SA,case
558,616,NA,NA,Adult,Insomnia,558,190,SA,case
559,616,NA,NA,Adult,Insomnia,559,190,SA,case
560,NA,NA,NA,Adult,Insomnia,560,192,Suicidality,case
561,30,0.2,9.4,Adult,Sleep quality,561,193,SA,case
562,NA,NA,NA,Adult,Sleep duration,562,199,SI,case
563,40,NA,NA,Adolescent,Sleep disturbance,563,201,SI,case
564,31,NA,NA,Adolescent,Sleep disturbance,564,201,SI,case
565,NA,NA,NA,Adult,Insomnia,565,200,SI,case
566,78,NA,NA,Adolescent,Nightmares,566,202,SI,case
567,78,NA,NA,Adolescent,Sleep disturbance,567,202,SI,case
568,78,NA,NA,Adolescent,Sleep duration,568,202,SI,case
569,90,NA,NA,Adolescent,Nightmares,569,202,SI,case
570,90,NA,NA,Adolescent,Sleep disturbance,570,202,SI,case
571,90,NA,NA,Adolescent,Sleep duration,571,202,SI,case
572,NA,NA,NA,Adult,Insomnia,572,204,SI,case
573,30,1.88,2.8,Adult,Insomnia,573,210,SA,case
574,NA,NA,NA,Adolescent,Sleep duration,574,212,SI,case
575,NA,NA,NA,Adolescent,Sleep duration,575,212,SI,case
576,NA,NA,NA,Adolescent,Sleep duration,576,212,SI,case
577,NA,NA,NA,Adolescent,Sleep duration,577,212,SI,case
578,NA,NA,NA,Adolescent,Sleep duration,578,212,SI,case
579,203,NA,NA,Adult,Sleep disturbance,579,214,SA,case
580,NA,NA,NA,Adult,Insomnia,580,218,SD,case
581,4310,NA,NA,Adult,Insomnia,581,219,SA,case
582,NA,NA,NA,Adolescent,Sleep duration,582,220,SI,case
583,NA,NA,NA,Adolescent,Sleep duration,583,220,SI,case
584,NA,NA,NA,Adolescent,Sleep duration,584,220,SI,case
585,NA,NA,NA,Adolescent,Sleep duration,585,220,SI,case
586,NA,NA,NA,Adolescent,Sleep duration,586,220,SI,case
587,NA,NA,NA,Adolescent,Sleep duration,587,220,SI,case
588,NA,NA,NA,Adolescent,Sleep duration,588,220,SP,case
589,NA,NA,NA,Adolescent,Sleep duration,589,220,SP,case
590,NA,NA,NA,Adolescent,Sleep duration,590,220,SP,case
591,NA,NA,NA,Adolescent,Sleep duration,591,220,SP,case
592,NA,NA,NA,Adolescent,Sleep duration,592,220,SP,case
593,NA,NA,NA,Adolescent,Sleep duration,593,220,SP,case
594,NA,NA,NA,Adolescent,Sleep duration,594,220,SA,case
595,NA,NA,NA,Adolescent,Sleep duration,595,220,SA,case
596,NA,NA,NA,Adolescent,Sleep duration,596,220,SA,case
597,NA,NA,NA,Adolescent,Sleep duration,597,220,SA,case
598,NA,NA,NA,Adolescent,Sleep duration,598,220,SA,case
599,NA,NA,NA,Adolescent,Sleep duration,599,220,SA,case
600,NA,NA,NA,Adolescent,Sleep duration,600,220,SI,case
601,NA,NA,NA,Adolescent,Sleep duration,601,220,SI,case
602,NA,NA,NA,Adolescent,Sleep duration,602,220,SI,case
603,NA,NA,NA,Adolescent,Sleep duration,603,220,SI,case
604,NA,NA,NA,Adolescent,Sleep duration,604,220,SI,case
605,NA,NA,NA,Adolescent,Sleep duration,605,220,SI,case
606,NA,NA,NA,Adolescent,Sleep duration,606,220,SP,case
607,NA,NA,NA,Adolescent,Sleep duration,607,220,SP,case
608,NA,NA,NA,Adolescent,Sleep duration,608,220,SP,case
609,NA,NA,NA,Adolescent,Sleep duration,609,220,SP,case
610,NA,NA,NA,Adolescent,Sleep duration,610,220,SP,case
611,NA,NA,NA,Adolescent,Sleep duration,611,220,SP,case
612,NA,NA,NA,Adolescent,Sleep duration,612,220,SA,case
613,NA,NA,NA,Adolescent,Sleep duration,613,220,SA,case
614,NA,NA,NA,Adolescent,Sleep duration,614,220,SA,case
615,NA,NA,NA,Adolescent,Sleep duration,615,220,SA,case
616,NA,NA,NA,Adolescent,Sleep duration,616,220,SA,case
617,NA,NA,NA,Adolescent,Sleep duration,617,220,SA,case
618,NA,NA,NA,Adult,Insomnia,618,225,SI,case
619,NA,NA,NA,Adult,Insomnia,619,225,SI,case
620,NA,NA,NA,Adult,Nightmares,620,225,SI,case
621,NA,NA,NA,Adult,Nightmares,621,225,SI,case
622,NA,NA,NA,Adolescent,Insomnia,622,238,SA,case
623,NA,NA,NA,Adolescent,Hypersomnia,623,238,SA,case
624,74,NA,NA,Adult,Sleep disturbance,624,242,SD,case
625,15,NA,NA,Adult,Insomnia,625,245,SD,case
626,NA,NA,NA,Adolescent,Sleep quality,626,257,SI,case
627,29,NA,NA,Adult,Insomia,627,258,SA,case
628,14,NA,NA,Adult,Nightmares,628,258,SA,case
629,29,NA,NA,Adult,Insomnia,629,258,SA,case
630,14,NA,NA,Adult,Nightmares,630,258,SA,case
631,NA,NA,NA,Adult,Nightmares,631,259,SI,case
632,NA,NA,NA,Adult,Insomnia,632,259,SI,case
633,360,NA,NA,Adult,Sleep quality,633,261,SI,case
634,38,NA,NA,Adolescent,Insomnia,634,263,SA,case
635,9,NA,NA,Adult,Sleep disorder,635,264,SI,case
636,NA,NA,NA,Adult,Insomnia,636,271,SI,case
637,NA,NA,NA,Adult,Nightmares,637,271,SI,case
638,16,2.87,14.47,Adult,Sleep quality,638,283,SA,case
639,NA,NA,NA,Adult,Insomnia,639,286,SA,case
640,NA,NA,NA,Adult,Insomnia,640,286,SA,case
641,16,0.8,1.4,Adult,Insomnia,641,292,SD,case
642,16,0.9,1,Adult,Insomnia,642,292,SD,case
643,16,0.9,1.1,Adult,Insomnia,643,292,SD,case
644,NA,NA,NA,Adolescent,Insomnia,644,303,SI,case
645,NA,NA,NA,Adult,Insomnia ,645,304,SI,case
646,NA,NA,NA,Adult,Insomnia,646,304,SI,case
647,NA,NA,NA,Adult,Insomnia,647,304,SI,case
648,NA,NA,NA,Adult,Insomnia,648,304,SI,case
649,388,NA,NA,Adolescent Adult,Insomnia,649,305,SD,case
650,388,NA,NA,Adolescent Adult,Insomnia,650,305,SD,case
651,388,NA,NA,Adolescent Adult,Insomnia,651,305,SD,case
652,388,NA,NA,Adolescent Adult,Insomnia,652,305,SD,case
653,NA,NA,NA,Adult,Insomnia,653,307,SI,case
654,486,NA,NA,Adult,Insomnia,654,308,SA,case
655,379,NA,NA,Adult,Sleep disorder,655,311,SD,case
656,NA,NA,NA,Adolescent,Sleep duration,656,27,SI,case
657,NA,NA,NA,Adolescent,Sleep duration,657,27,SI,case
658,NA,NA,NA,Adolescent,Sleep duration,658,27,SA,case
659,NA,NA,NA,Adolescent,Insomnia,659,115,SA,case
660,NA,NA,NA,Adolescent,Insomnia,660,115,SA,case
661,NA,NA,NA,Adolescent,Insomnia,661,115,SA,case
662,NA,NA,NA,Adolescent,Insomnia,662,115,SA,case
663,NA,NA,NA,Adolescent,Non-restorative sleep,663,115,SA,case
664,NA,NA,NA,Adolescent,Hypersomnia,664,115,SA,case
665,28,NA,NA,Adult,Insomnia,665,141,SA,case
666,28,NA,NA,Adult,Insomnia,666,141,SA,case
667,28,NA,NA,Adult,Insomnia,667,141,SA,case
668,28,NA,NA,Adult,Nightmares,668,141,SA,case
669,4610,NA,NA,Adolescent,Time in bed,669,247,SI,case
670,6992,NA,NA,Adolescent,Time in bed,670,247,SI,case
671,8450,NA,NA,Adolescent,Time in bed,671,247,SI,case
672,7706,NA,NA,Adolescent,Time in bed,672,247,SI,case
673,4595,NA,NA,Adolescent,Time in bed,673,247,SI,case
674,1497,NA,NA,Adolescent,Time in bed,674,247,SI,case
675,299,NA,NA,Adolescent,Time in bed,675,247,SI,case
676,NA,NA,NA,Adult,Sleep duration,676,62,SD,case
677,NA,NA,NA,Adult,Sleep duration,677,62,SD,case
678,NA,NA,NA,Adult,Sleep duration,678,62,SD,case
679,NA,NA,NA,Adult,Insomnia,679,62,SD,case
680,NA,NA,NA,Adult,Easily woken,680,62,SD,case
681,,NA,NA,Adolescent,Sleep latency,1,324,Suicidality,suic
682,,NA,NA,Adolescent,REM latency,2,324,Suicidality,suic
683,,NA,NA,Adolescent,REM density,3,324,Suicidality,suic
684,,NA,NA,Adolescent,Coristol,4,324,Suicidality,suic
685,,NA,NA,Adolescent,Hypersomnia,5,322,Suicidality,suic
686,,NA,NA,Adolescent,Insomnia,6,322,Suicidality,suic
687,,NA,NA,Adolescent,Insomnia,7,321,SI,suic
688,,NA,NA,Adolescent,Early bedtime,8,319,Suicidality,suic
689,,NA,NA,Adolescent,Late bedtime,9,319,Suicidality,suic
690,,NA,NA,Adolescent,Sleep duration,10,319,Suicidality,suic
691,,NA,NA,Adolescent,Sleep duration,11,319,Suicidality,suic
692,,NA,NA,Adolescent,Sleep duration,12,319,Suicidality,suic
693,,NA,NA,Adolescent,Sleep duration,13,319,Suicidality,suic
694,,NA,NA,Adolescent,Sleep duration,14,319,Suicidality,suic
695,,NA,NA,Adolescent,Sleep duration,15,319,Suicidality,suic
696,,NA,NA,Adolescent,Sleep quality ,16,312,SI,suic
697,,NA,NA,Adolescent,Sleep quality ,17,312,SA,suic
698,,NA,NA,Adult,Insomnia,18,290,SA,suic
699,,NA,NA,Adult,Nightmares,19,290,SA,suic
700,,NA,NA,Adult,Insomnia,20,288,SI,suic
701,,NA,NA,Adult,Sleep quality,21,287,SI,suic
702,,NA,NA,Adult,Sleep quality,22,287,SI,suic
703,,NA,NA,Adult,Sleep latency,23,287,SI,suic
704,,NA,NA,Adult,Sleep duration,24,287,SI,suic
705,,NA,NA,Adult,Sleep efficiency,25,287,SI,suic
706,,NA,NA,Adult,Sleep disturbance,26,287,SI,suic
707,,NA,NA,Adult,Insomnia,27,280,Suicidality,suic
708,,NA,NA,Adult,Normal Sleep duation (6-9 hr),28,279,SI,suic
709,,NA,NA,Adult,Sleep disturbance,29,279,SI,suic
710,,NA,NA,Adolescent,Insomnia,30,267,SI,suic
711,,NA,NA,Adolescent,Insomnia,31,267,SI,suic
712,,NA,NA,Adolescent,Insomnia,32,267,SI,suic
713,,NA,NA,Adolescent,Circadian reversal,33,267,SI,suic
714,,NA,NA,Adolescent,Nonrestorative sleep,34,267,SI,suic
715,,NA,NA,Adolescent,Hypersomnia,35,267,SI,suic
716,,NA,NA,Adolescent,Insomnia,36,267,SA,suic
717,,NA,NA,Adolescent,Insomnia,37,267,SA,suic
718,,NA,NA,Adolescent,Insomnia,38,267,SA,suic
719,,NA,NA,Adolescent,Circadian reversal,39,267,SA,suic
720,,NA,NA,Adolescent,Nonrestorative sleep,40,267,SA,suic
721,,NA,NA,Adolescent,Hypersomnia,41,267,SA,suic
722,,NA,NA,Adult,Sleep disturbance,42,266,SI,suic
723,,NA,NA,Adult,Sleep disturbance,43,266,SI,suic
724,,NA,NA,Adult,Sleep disturbance,44,266,SI,suic
725,,NA,NA,Adult,Sleep disturbance,45,266,SA,suic
726,,NA,NA,Adult,Sleep disturbance,46,266,SA,suic
727,,NA,NA,Adult,Insomnia,47,255,SI,suic
728,,NA,NA,Adult,Insomnia,48,255,SI,suic
729,,NA,NA,Adult,Insomnia,49,255,SI,suic
730,497,NA,NA,Adult,Sleep disturbance,50,248,SI,suic
731,93,NA,NA,Adult,Sleep disturbance,51,248,,suic
732,93,NA,NA,Adult,Sleep disturbance,52,248,SA,suic
733,5498,NA,NA,Adult,Sleep apnea,53,244,SI,suic
734,,NA,NA,Adult,Poor sleep,54,243,SA,suic
735,,NA,NA,Adult,Insomnia,55,240,SI,suic
736,,NA,NA,Adolescent,Sleep duration,56,232,SI,suic
737,,NA,NA,Adolescent,Sleep duration,57,232,SI,suic
738,,NA,NA,Adolescent,Sleep duration,58,232,SI,suic
739,,NA,NA,Adolescent,Sleep duration,59,232,SA,suic
740,,NA,NA,Adolescent,Sleep duration,60,232,SA,suic
741,,NA,NA,Adolescent,Sleep duration,61,232,SA,suic
742,,NA,NA,Adult,Sleep disorder,62,225,SI,suic
743,,NA,NA,Adult,No sleep disorder,63,225,SI,suic
744,,NA,NA,Adult,Insomnia,64,209,SI,suic
745,,NA,NA,Adult,Hypersomnia,65,209,SI,suic
746,,NA,NA,Adult,Insomnia,66,183,Suicidality,suic
747,,NA,NA,Adult,Insomnia,67,183,SA,suic
748,,NA,NA,Adult,Nightmares,68,183,Suicidality,suic
749,,NA,NA,Adult,Nightmares,69,183,SA,suic
750,,NA,NA,Adult,Sleep efficiency,70,183,Suicidality,suic
751,,NA,NA,Adult,Wake after sleep onset,71,183,Suicidality,suic
752,,NA,NA,Adult,Sleep-onset latency,72,183,Suicidality,suic
753,,NA,NA,Adult,Total sleep time,73,183,Suicidality,suic
754,,NA,NA,Adult,Sleep variability,74,183,Suicidality,suic
755,,NA,NA,Adult,Sleep efficiency,75,183,Suicidality,suic
756,,NA,NA,Adult,Wake after sleep onset,76,183,Suicidality,suic
757,,NA,NA,Adult,Sleep-onset latency,77,183,Suicidality,suic
758,,NA,NA,Adult,Total sleep time,78,183,Suicidality,suic
759,,NA,NA,Adult,Sleep variability,79,183,Suicidality,suic
760,,NA,NA,Adult,Sleep disorder,80,171,SD,suic
761,239,NA,NA,Adolescent,Insomnia,81,166,SI,suic
762,65,NA,NA,Adolescent,Insomnia,82,166,SP,suic
763,62,NA,NA,Adolescent,Insomnia,83,166,SA,suic
764,179,NA,NA,Adolescent,Insomnia,84,166,SI,suic
765,50,NA,NA,Adolescent,Insomnia,85,166,SP,suic
766,52,NA,NA,Adolescent,Insomnia,86,166,SA,suic
767,164,NA,NA,Adolescent,Insomnia,87,166,SI,suic
768,50,NA,NA,Adolescent,Insomnia,88,166,SP,suic
769,46,NA,NA,Adolescent,Insomnia,89,166,SA,suic
770,,NA,NA,Adolescent,Insomnia,90,166,SI,suic
771,,NA,NA,Adolescent,Insomnia,91,166,SP,suic
772,,NA,NA,Adolescent,Insomnia,92,166,SA,suic
773,,NA,NA,Adult,Sleep quality,93,157,Suicidality,suic
774,,NA,NA,Adult,Sleep quality,94,156,SI,suic
775,73,NA,NA,Adult,No nightmares,95,152,SD,suic
776,73,NA,NA,Adult,Nightmares,96,152,SD,suic
777,13,NA,NA,Adult,Nightmares,97,152,SD,suic
778,27,NA,NA,Adolescent Adult,Sleep disturbance,98,151,SA,suic
779,,NA,NA,Adolescent Adult,Insomnia,99,149,SD,suic
780,,NA,NA,Adolescent Adult,Insomnia,100,149,SD,suic
781,,NA,NA,Adolescent Adult,Insomnia,101,149,SD,suic
782,,NA,NA,Adolescent Adult,Insomnia,102,149,SD,suic
783,,NA,NA,Adult,Insomnia,103,140,SI,suic
784,,NA,NA,Adult,Insomnia,104,139,SA,suic
785,,NA,NA,Adult,Time recording,105,136,SA,suic
786,,NA,NA,Adult,Total sleep time,106,136,SA,suic
787,,NA,NA,Adult,Sleep latency,107,136,SA,suic
788,,NA,NA,Adult,Awake,108,136,SA,suic
789,,NA,NA,Adult,Awake,109,136,SA,suic
790,,NA,NA,Adult,Awake,110,136,SA,suic
791,,NA,NA,Adult,Sleep maintenance,111,136,SA,suic
792,,NA,NA,Adult,Sleep efficiency,112,136,SA,suic
793,,NA,NA,Adult,Stage 1,113,136,SA,suic
794,,NA,NA,Adult,Stage 2,114,136,SA,suic
795,,NA,NA,Adult,Stage 3 ,115,136,SA,suic
796,,NA,NA,Adult,Stage 4,116,136,SA,suic
797,,NA,NA,Adult,Delta,117,136,SA,suic
798,,NA,NA,Adult,REM,118,136,SA,suic
799,,NA,NA,Adult,REM,119,136,SA,suic
800,,NA,NA,Adult,REM,120,136,SA,suic
801,,NA,NA,Adult,REM,121,136,SA,suic
802,,NA,NA,Adult,REM,122,136,SA,suic
803,,NA,NA,Adult,REM,123,136,SA,suic
804,,NA,NA,Adult,REM,124,136,SA,suic
805,,NA,NA,Adult,REM,125,136,SA,suic
806,,NA,NA,Adult,REM,126,136,SA,suic
807,,NA,NA,Adult,REM,127,136,SA,suic
808,,NA,NA,Adult,REM,128,136,SA,suic
809,,NA,NA,Adult,REM,129,136,SA,suic
810,,NA,NA,Adult,REM,130,136,SA,suic
811,,NA,NA,Adult,REM,131,136,SA,suic
812,,NA,NA,Adult,REM,132,136,SA,suic
813,,NA,NA,Adult,REM,133,136,SA,suic
814,,NA,NA,Adult,REM,134,136,SA,suic
815,,NA,NA,Adult,REM,135,136,SA,suic
816,,NA,NA,Adult,REM,136,136,SA,suic
817,,NA,NA,Adult,REM,137,136,SA,suic
818,,NA,NA,Adult,REM,138,136,SA,suic
819,,NA,NA,Adult,REM,139,136,SA,suic
820,,NA,NA,Adult,REM,140,136,SA,suic
821,,NA,NA,Adult,REM,141,136,SA,suic
822,,NA,NA,Adult,REM,142,136,SA,suic
823,,NA,NA,Adult,REM,143,136,SA,suic
824,,NA,NA,Adult,REM,144,136,SA,suic
825,,NA,NA,Adult,REM,145,136,SA,suic
826,,NA,NA,Adult,REM,146,136,SA,suic
827,,NA,NA,Adult,REM,147,136,SA,suic
828,,NA,NA,Adult,REM,148,136,SA,suic
829,,NA,NA,Adult,REM,149,136,SA,suic
830,,NA,NA,Adult,REM,150,136,SA,suic
831,,NA,NA,Adult,REM,151,136,SA,suic
832,,NA,NA,Adult,REM,152,136,SA,suic
833,,NA,NA,Adult,REM,153,136,SA,suic
834,,NA,NA,Adult,REM,154,136,SA,suic
835,,NA,NA,Adult,REM,155,136,SA,suic
836,,NA,NA,Adult,REM,156,136,SA,suic
837,,NA,NA,Adult,REM,157,136,SA,suic
838,,NA,NA,Adult,REM,158,136,SA,suic
839,,NA,NA,Adult,Insomnia,159,135,SA,suic
840,,NA,NA,Adult,Nightmares,160,135,SA,suic
841,,NA,NA,Adult,Insomnia,161,135,SA,suic
842,,NA,NA,Adult,Nightmares,162,135,SA,suic
843,,NA,NA,Adult,Insomnia,163,113,Suicidality,suic
844,,NA,NA,Adult,Nightmares,164,113,Suicidality,suic
845,,NA,NA,Adult,Insomnia,165,108,Suicidality,suic
846,,NA,NA,Adult,Total sleep time,166,108,Suicidality,suic
847,,NA,NA,Adult,Insomnia,167,64,SA,suic
848,,NA,NA,Adult,Insomnia,168,64,SA,suic
849,,NA,NA,Adult,Insomnia,169,65,Suicidality,suic
850,,NA,NA,Adult,Nightmares,170,65,Suicidality,suic
851,,NA,NA,Adult,Insomnia,171,67,Suicidality,suic
852,,NA,NA,Adult,Insomnia,172,67,Suicidality,suic
853,,NA,NA,Adult,Insomnia,173,67,Suicidality,suic
854,,NA,NA,Adult,Insomnia,174,68,Suicidality,suic
855,93,NA,NA,Adult,Insomnia,175,69,SD,suic
856,,NA,NA,Adolescent,Sleep duration,176,72,SI,suic
857,,NA,NA,Adult,Sleep quality ,177,75,SA,suic
858,,NA,NA,Adolescent,Sleep duration,178,80,SI,suic
859,,NA,NA,Adolescent,Sleep duration,179,80,SI,suic
860,,NA,NA,Adolescent,Sleep duration,180,80,SI,suic
861,,NA,NA,Adult,Nightmares,181,88,Suicidality,suic
862,,NA,NA,Adult,Insomnia,182,88,Suicidality,suic
863,,NA,NA,Adult,Total sleep time,183,93,SI,suic
864,,NA,NA,Adult,Total sleep time,184,93,SI,suic
865,,NA,NA,Adult,Sleep efficiency,185,93,SI,suic
866,,NA,NA,Adult,Sleep efficiency,186,93,SI,suic
867,,NA,NA,Adult,Sleep onset latency,187,93,SI,suic
868,,NA,NA,Adult,Sleep onset latency,188,93,SI,suic
869,,NA,NA,Adult,Sleep quality,189,93,SI,suic
870,,NA,NA,Adult,REM,190,77,Suicidality,suic
871,,NA,NA,Adult,REM,191,77,Suicidality,suic
872,,NA,NA,Adult,REM,192,77,Suicidality,suic
873,,NA,NA,Adult,REM,193,77,Suicidality,suic
874,,NA,NA,Adult,REM,194,77,Suicidality,suic
875,,NA,NA,Adult,REM,195,77,Suicidality,suic
876,,NA,NA,Adult,REM,196,77,Suicidality,suic
877,,NA,NA,Adult,REM,197,77,Suicidality,suic
878,,NA,NA,Adult,Insomnia,198,92,SA,suic
879,,NA,NA,Adult,Nightmares,199,92,SA,suic
880,,NA,NA,Adult,Insomnia,200,92,SA,suic
881,,NA,NA,Adult,Insomnia + Nightmares,201,92,SA,suic
882,78,NA,NA,Adult,REM,202,90,SA,suic
883,78,NA,NA,Adult,REM,203,90,SA,suic
884,78,NA,NA,Adult,REM,204,90,SA,suic
885,78,NA,NA,Adult,Slow wave sleep,205,90,SA,suic
